normal_static_leafsum, normal_static_sideways_fenwick, normal_changing_leafsum, normal_changing_sideways_fenwick, uniform_static_leafsum, uniform_static_sideways_fenwick, uniform_changing_leafsum, uniform_changing_sideways_fenwick, weibull_static_leafsum, weibull_static_sideways_fenwick, weibull_changing_leafsum, weibull_changing_sideways_fenwick
0.161516, 0.125674, 0.188668, 0.172207, 0.153281, 0.125654, 0.1792, 0.151296, 0.154454, 0.125405, 0.180823, 0.160097
0.163922, 0.125482, 0.190756, 0.172403, 0.151854, 0.125704, 0.177272, 0.15228, 0.166229, 0.124866, 0.178963, 0.160441
0.161723, 0.124203, 0.189824, 0.171448, 0.153529, 0.124204, 0.176459, 0.150475, 0.154843, 0.125506, 0.180089, 0.160473
0.164785, 0.12404, 0.191964, 0.172791, 0.152601, 0.125642, 0.176704, 0.150777, 0.156044, 0.12487, 0.180399, 0.158719
0.163943, 0.124199, 0.189562, 0.171303, 0.15328, 0.12572, 0.178132, 0.152103, 0.154732, 0.126606, 0.180917, 0.159916
0.161367, 0.125896, 0.191255, 0.171825, 0.152763, 0.124979, 0.176109, 0.151632, 0.15614, 0.125392, 0.179157, 0.16016
0.163151, 0.124373, 0.191798, 0.172869, 0.151693, 0.124911, 0.175679, 0.151252, 0.153729, 0.124676, 0.17877, 0.1598
0.163253, 0.124519, 0.192403, 0.171498, 0.153013, 0.124814, 0.181644, 0.150671, 0.154911, 0.124712, 0.183248, 0.159709
0.164838, 0.124006, 0.189547, 0.171483, 0.152206, 0.12435, 0.176601, 0.152153, 0.154252, 0.125874, 0.180593, 0.160974
0.164905, 0.124088, 0.191436, 0.171578, 0.153656, 0.124701, 0.178061, 0.150703, 0.1543, 0.124289, 0.180798, 0.159645
0.163508, 0.125406, 0.192091, 0.171329, 0.158107, 0.127192, 0.178885, 0.15298, 0.153492, 0.12497, 0.180029, 0.159375
0.16571, 0.124654, 0.189564, 0.172202, 0.151912, 0.125394, 0.178764, 0.152606, 0.154123, 0.125482, 0.180441, 0.160825
0.165088, 0.124297, 0.190745, 0.171544, 0.154855, 0.124227, 0.179358, 0.151266, 0.153607, 0.124794, 0.180012, 0.15889
0.164195, 0.124127, 0.192077, 0.171622, 0.152603, 0.124276, 0.183324, 0.152327, 0.155375, 0.125903, 0.18085, 0.160196
0.163381, 0.124827, 0.188126, 0.172873, 0.150823, 0.126349, 0.179164, 0.150541, 0.15491, 0.12558, 0.183706, 0.159583
0.163645, 0.124563, 0.190646, 0.172772, 0.153719, 0.125131, 0.178788, 0.152083, 0.155028, 0.124903, 0.179977, 0.159567
0.162627, 0.125021, 0.189582, 0.171846, 0.153112, 0.124987, 0.17894, 0.150998, 0.155329, 0.12407, 0.181621, 0.159603
