normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_fenwick, normal_changing_leafsum, normal_changing_leaf_sum_split, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_fenwick, uniform_changing_leafsum, uniform_changing_leaf_sum_split, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_fenwick, weibull_changing_leafsum, weibull_changing_leaf_sum_split, weibull_changing_sideways_fenwick
0.0625139, 0.0596712, 0.0530086, 0.0218969, 0.0562992, 0.0533381, 0.055615, 0.0242158, 0.0336527, 0.0581419, 0.031949, 0.0338475, 0.030248, 0.0631322, 0.0588036, 0.0543238, 0.0212693, 0.0560097, 0.0509181, 0.0531437, 0.0670804, 0.084108, 0.0648069, 0.0608254, 0.0586972, 0.0671058, 0.0565867, 0.0490771, 0.050278, 0.0214679, 0.0519304, 0.0478522, 0.0473158, 0.0385357, 0.0419271, 0.0622973, 0.0349175, 0.0347608, 0.0396008
0.061534, 0.0621599, 0.0547978, 0.021764, 0.0548253, 0.0524833, 0.0573874, 0.0238944, 0.0358771, 0.0596988, 0.0300426, 0.0334888, 0.0318574, 0.0618192, 0.0568765, 0.0520547, 0.0207198, 0.0582869, 0.0505138, 0.0557921, 0.0703793, 0.0840214, 0.0646803, 0.0610308, 0.0564507, 0.0685474, 0.057098, 0.0491374, 0.0491195, 0.021269, 0.0498966, 0.045923, 0.0494343, 0.0385491, 0.0458553, 0.063517, 0.0335339, 0.034761, 0.0406224
0.0648176, 0.0610066, 0.0549735, 0.0231019, 0.0598947, 0.0524377, 0.0561498, 0.0251427, 0.0356479, 0.0593982, 0.030498, 0.0342953, 0.03104, 0.0628871, 0.0588589, 0.053276, 0.0214826, 0.0573273, 0.0524504, 0.0545087, 0.06895, 0.0902643, 0.0682088, 0.0625706, 0.0577392, 0.0723239, 0.0569617, 0.0501873, 0.0479666, 0.021269, 0.0516144, 0.0465665, 0.0501442, 0.0397893, 0.045781, 0.0657312, 0.0341846, 0.0347801, 0.0439423
0.0630319, 0.0595509, 0.0559756, 0.0219677, 0.0564755, 0.0547754, 0.0559254, 0.0245303, 0.0370575, 0.0619887, 0.0318335, 0.0353493, 0.0311821, 0.064437, 0.0589395, 0.0538017, 0.0212097, 0.0569611, 0.0525181, 0.0550548, 0.0688599, 0.0861178, 0.0698871, 0.0656453, 0.0579114, 0.0698867, 0.0575307, 0.0503034, 0.0510645, 0.0220322, 0.0514515, 0.0464156, 0.0510519, 0.0384076, 0.0426486, 0.0634661, 0.034412, 0.0348347, 0.0436657
0.0661051, 0.0605618, 0.0545851, 0.0209329, 0.0557707, 0.0525647, 0.0567973, 0.0243963, 0.0347079, 0.0589254, 0.0304277, 0.0343867, 0.0308636, 0.0652822, 0.0606733, 0.054701, 0.0214817, 0.0571785, 0.0531877, 0.0567654, 0.0686572, 0.0887669, 0.0693852, 0.0628972, 0.0616391, 0.0699568, 0.0575209, 0.0501549, 0.0491781, 0.0215229, 0.0493338, 0.0481139, 0.0486571, 0.0385898, 0.0428469, 0.0633953, 0.034139, 0.0345733, 0.0405131
0.0640665, 0.0594501, 0.0536934, 0.0205451, 0.0545808, 0.0515019, 0.0576235, 0.0240232, 0.0339924, 0.0579256, 0.0298972, 0.0334531, 0.031361, 0.0615184, 0.057101, 0.0543247, 0.0214057, 0.0577566, 0.0519023, 0.054912, 0.0676959, 0.0883791, 0.0668606, 0.0639692, 0.0567041, 0.066585, 0.0550594, 0.0491814, 0.0500112, 0.0213152, 0.0501544, 0.0454739, 0.0506501, 0.0399696, 0.043128, 0.0638902, 0.03372, 0.0348494, 0.0407242
0.0616149, 0.0581442, 0.0557306, 0.0215927, 0.055314, 0.0520827, 0.0568308, 0.0239593, 0.0345671, 0.0579598, 0.0299101, 0.0338349, 0.0304496, 0.061864, 0.0573185, 0.0525689, 0.0209286, 0.0589411, 0.0511955, 0.0550923, 0.0691156, 0.0852806, 0.0684202, 0.0630415, 0.0566285, 0.070075, 0.0567008, 0.0488129, 0.0480503, 0.0210782, 0.0487768, 0.0460605, 0.0485264, 0.0398648, 0.0431401, 0.0638755, 0.0338415, 0.0356823, 0.0397143
0.0618315, 0.0585655, 0.0530616, 0.0214834, 0.0549359, 0.0527018, 0.0539813, 0.0261227, 0.0350634, 0.0615624, 0.0299831, 0.0339297, 0.0325234, 0.0621374, 0.0578037, 0.0553435, 0.0215749, 0.0572405, 0.0515249, 0.0549322, 0.0668896, 0.0889015, 0.0672933, 0.0617104, 0.0595637, 0.0684447, 0.0573055, 0.0488998, 0.047583, 0.0216842, 0.0482475, 0.0467524, 0.0494001, 0.0388299, 0.0413523, 0.0637476, 0.0341999, 0.0338674, 0.040474
0.0632557, 0.0609434, 0.0551269, 0.0209046, 0.0570649, 0.0546683, 0.0555104, 0.0240859, 0.0347481, 0.0610602, 0.0307124, 0.0351126, 0.0306105, 0.0648823, 0.0589782, 0.0539289, 0.0209857, 0.0586513, 0.0526087, 0.0530928, 0.0686301, 0.0843774, 0.0682388, 0.0631148, 0.0573602, 0.0682915, 0.0565902, 0.0488859, 0.0473909, 0.020961, 0.0492349, 0.0482385, 0.0481562, 0.0402805, 0.0446797, 0.0620394, 0.0343786, 0.0350141, 0.0418741
0.0621162, 0.0592728, 0.0532557, 0.021528, 0.0564475, 0.0535995, 0.0546589, 0.0242897, 0.0348947, 0.0611234, 0.0310961, 0.0341612, 0.0301031, 0.0651377, 0.058284, 0.054322, 0.0213916, 0.0567339, 0.0538351, 0.0533186, 0.0691261, 0.0867926, 0.0660394, 0.0634631, 0.0581908, 0.0675466, 0.0557478, 0.0488116, 0.0473486, 0.0210035, 0.0491686, 0.0461422, 0.048778, 0.037797, 0.0425413, 0.0651391, 0.034825, 0.0336719, 0.0422678
 
0.062697, 0.059609, 0.054246, 0.021191, 0.055973, 0.052615, 0.055570, 0.024675, 0.034785, 0.059729, 0.030517, 0.034539, 0.030953, 0.063228, 0.058557, 0.053774, 0.021286, 0.056994, 0.051986, 0.054503, 0.068653, 0.086504, 0.066970, 0.062777, 0.058375, 0.068195, 0.056753, 0.049378, 0.048681, 0.021456, 0.049576, 0.046616, 0.048936, 0.038716, 0.042793, 0.063679, 0.033986, 0.034747, 0.041071
