normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_static_weightsum, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_static_weightsum, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_static_weightsum
0.07341, 0.072033, 0.068725, 0.048993, 0.068754, 0.063796, 0.065942, 0.08044, 0.071936, 0.070085, 0.068842, 0.048549, 0.066467, 0.063702, 0.06784, 0.078674, 0.06723, 0.056532, 0.064305, 0.048561, 0.063479, 0.060208, 0.060549, 0.064892
0.073511, 0.072103, 0.068739, 0.048552, 0.06874, 0.063707, 0.06592, 0.0805, 0.071993, 0.070019, 0.068821, 0.048551, 0.066459, 0.063758, 0.067824, 0.078721, 0.067244, 0.056542, 0.064278, 0.048544, 0.063473, 0.060175, 0.06055, 0.064833
0.073468, 0.072143, 0.068713, 0.049484, 0.068736, 0.063856, 0.065943, 0.080597, 0.071908, 0.070502, 0.068802, 0.048957, 0.066457, 0.063704, 0.067816, 0.078663, 0.06724, 0.056561, 0.064303, 0.049188, 0.063487, 0.060204, 0.060554, 0.064887
0.073432, 0.071902, 0.068753, 0.048558, 0.068748, 0.063759, 0.065988, 0.080494, 0.071847, 0.070167, 0.096909, 0.048551, 0.066441, 0.063728, 0.06781, 0.078741, 0.067348, 0.056611, 0.064346, 0.049508, 0.063508, 0.060215, 0.060537, 0.064878
0.073511, 0.071887, 0.068755, 0.048689, 0.068733, 0.063747, 0.06596, 0.080515, 0.071899, 0.070022, 0.068824, 0.048919, 0.066452, 0.063688, 0.067821, 0.078721, 0.067224, 0.056589, 0.064299, 0.04855, 0.06347, 0.06018, 0.060517, 0.064894
0.073602, 0.071977, 0.068754, 0.048521, 0.068732, 0.063733, 0.065933, 0.080429, 0.071911, 0.070178, 0.06883, 0.048969, 0.066462, 0.063727, 0.067965, 0.078643, 0.067244, 0.05656, 0.064334, 0.048979, 0.063465, 0.060174, 0.060532, 0.064896
0.07346, 0.072059, 0.068797, 0.048992, 0.068762, 0.063751, 0.065906, 0.080543, 0.071957, 0.07003, 0.068836, 0.048562, 0.066432, 0.063696, 0.067823, 0.078716, 0.06755, 0.056584, 0.064304, 0.048543, 0.063468, 0.060122, 0.060547, 0.064896
0.073358, 0.071827, 0.068753, 0.04853, 0.068769, 0.063723, 0.065964, 0.080472, 0.071854, 0.070118, 0.06883, 0.048494, 0.066449, 0.063738, 0.067925, 0.078663, 0.067219, 0.056542, 0.064339, 0.048495, 0.063416, 0.06024, 0.060549, 0.064873
0.073583, 0.07188, 0.068731, 0.049, 0.068721, 0.06372, 0.065924, 0.080519, 0.071924, 0.0703, 0.068861, 0.048533, 0.066444, 0.063805, 0.067856, 0.078775, 0.067302, 0.056681, 0.064326, 0.048567, 0.063417, 0.060178, 0.060551, 0.064835
0.073492, 0.072081, 0.068717, 0.048567, 0.068824, 0.063795, 0.06594, 0.0805, 0.071921, 0.070122, 0.068812, 0.048513, 0.066462, 0.063658, 0.067823, 0.078709, 0.067261, 0.056673, 0.064337, 0.048515, 0.063424, 0.06018, 0.060585, 0.064871
0.073565, 0.072189, 0.068706, 0.048605, 0.068759, 0.063782, 0.065891, 0.080504, 0.071912, 0.07053, 0.068837, 0.048539, 0.066451, 0.063685, 0.067847, 0.078739, 0.067269, 0.056574, 0.064352, 0.048551, 0.063449, 0.060149, 0.060584, 0.064858
0.073373, 0.072145, 0.068725, 0.048579, 0.06872, 0.063745, 0.065943, 0.08055, 0.071849, 0.070028, 0.068836, 0.048506, 0.066465, 0.063662, 0.067847, 0.078742, 0.067349, 0.056605, 0.064335, 0.04852, 0.063408, 0.060199, 0.060516, 0.064851
0.073723, 0.072031, 0.068742, 0.048559, 0.068771, 0.063733, 0.065972, 0.080432, 0.071796, 0.070124, 0.068854, 0.04897, 0.066493, 0.063706, 0.067836, 0.078718, 0.067275, 0.056592, 0.064321, 0.048958, 0.063405, 0.060215, 0.060557, 0.0649
0.073499, 0.07186, 0.068754, 0.048515, 0.068745, 0.063722, 0.065953, 0.080442, 0.071934, 0.070047, 0.068851, 0.04855, 0.066475, 0.063748, 0.067828, 0.07867, 0.06725, 0.056521, 0.064319, 0.049032, 0.06344, 0.060127, 0.060554, 0.0649
0.073511, 0.071836, 0.068744, 0.048551, 0.068715, 0.063716, 0.065974, 0.08052, 0.071893, 0.070174, 0.068837, 0.048876, 0.066457, 0.063757, 0.067864, 0.078738, 0.067402, 0.056507, 0.064331, 0.048546, 0.063452, 0.060192, 0.060588, 0.064907
0.073478, 0.072078, 0.068781, 0.048758, 0.068757, 0.063797, 0.065936, 0.080508, 0.071873, 0.070317, 0.068826, 0.048531, 0.066488, 0.063714, 0.067834, 0.078758, 0.067216, 0.056522, 0.064318, 0.049555, 0.063472, 0.060196, 0.060527, 0.064894
0.073452, 0.071808, 0.068723, 0.048562, 0.068753, 0.063723, 0.065959, 0.080431, 0.071942, 0.069999, 0.068856, 0.04953, 0.066458, 0.063702, 0.067815, 0.078724, 0.067425, 0.056527, 0.064298, 0.048667, 0.063461, 0.060172, 0.060578, 0.065015
0.073511, 0.072341, 0.068755, 0.048551, 0.068704, 0.063766, 0.065917, 0.080529, 0.071877, 0.070437, 0.068823, 0.049527, 0.066431, 0.063694, 0.06786, 0.078781, 0.067366, 0.05652, 0.064345, 0.049035, 0.063458, 0.060195, 0.060527, 0.064848
0.073586, 0.071977, 0.068691, 0.048579, 0.068734, 0.06374, 0.065948, 0.080522, 0.071904, 0.07057, 0.068814, 0.049015, 0.06645, 0.063737, 0.067834, 0.078734, 0.067175, 0.056699, 0.064338, 0.048985, 0.063484, 0.060155, 0.060534, 0.064879
0.073473, 0.072148, 0.068718, 0.049419, 0.068751, 0.063809, 0.06591, 0.080491, 0.071842, 0.070126, 0.068825, 0.049539, 0.066464, 0.063762, 0.067839, 0.078831, 0.06751, 0.05671, 0.064364, 0.049554, 0.063444, 0.060233, 0.060584, 0.064896
0.073367, 0.07216, 0.06876, 0.049012, 0.068746, 0.063735, 0.065984, 0.080471, 0.071879, 0.070287, 0.068849, 0.048597, 0.066442, 0.06372, 0.067856, 0.078737, 0.067297, 0.056606, 0.064331, 0.048549, 0.063457, 0.06024, 0.060553, 0.064922
0.073492, 0.071987, 0.068718, 0.048585, 0.068737, 0.063738, 0.065914, 0.080526, 0.071995, 0.070307, 0.06883, 0.048562, 0.066453, 0.063686, 0.067828, 0.07872, 0.067533, 0.056485, 0.064358, 0.048579, 0.063447, 0.060157, 0.060553, 0.064848
0.073536, 0.072141, 0.068733, 0.048592, 0.068732, 0.063794, 0.065961, 0.080584, 0.071984, 0.070427, 0.06885, 0.049559, 0.066444, 0.063698, 0.067845, 0.078771, 0.067306, 0.056533, 0.064325, 0.049546, 0.063469, 0.0602, 0.060523, 0.064902
0.073441, 0.072166, 0.068735, 0.048624, 0.068775, 0.063738, 0.065945, 0.08056, 0.071927, 0.070367, 0.068836, 0.049014, 0.066474, 0.063695, 0.067829, 0.078752, 0.067261, 0.056598, 0.06434, 0.048593, 0.063455, 0.060174, 0.060523, 0.064915
0.073374, 0.07214, 0.068733, 0.048544, 0.068777, 0.063755, 0.065948, 0.080522, 0.071893, 0.070343, 0.068842, 0.048499, 0.066461, 0.063739, 0.067854, 0.078668, 0.067415, 0.056659, 0.064364, 0.049003, 0.063442, 0.060226, 0.060562, 0.064792
0.073467, 0.071986, 0.068742, 0.049, 0.068755, 0.063799, 0.065925, 0.080513, 0.07182, 0.070076, 0.068834, 0.048991, 0.066481, 0.063721, 0.067824, 0.078682, 0.067241, 0.056495, 0.064323, 0.048548, 0.063469, 0.060193, 0.060564, 0.064851
0.073439, 0.071934, 0.068747, 0.048981, 0.070186, 0.063803, 0.065903, 0.080508, 0.071886, 0.070082, 0.068851, 0.048512, 0.066503, 0.063715, 0.067865, 0.078702, 0.067203, 0.056518, 0.064412, 0.0495, 0.063491, 0.060266, 0.060549, 0.064894
0.073434, 0.071838, 0.068727, 0.048542, 0.068709, 0.063837, 0.065906, 0.080519, 0.071895, 0.070031, 0.068822, 0.048999, 0.066459, 0.063713, 0.067834, 0.078723, 0.067318, 0.056534, 0.064276, 0.049548, 0.06342, 0.06017, 0.060537, 0.064891
0.073548, 0.072249, 0.068736, 0.048593, 0.068742, 0.063728, 0.065953, 0.080541, 0.071896, 0.070538, 0.068847, 0.048525, 0.066472, 0.063632, 0.067834, 0.07873, 0.067123, 0.056556, 0.064296, 0.049014, 0.063494, 0.06015, 0.060554, 0.064905
0.073429, 0.072234, 0.068746, 0.048976, 0.068763, 0.063803, 0.065921, 0.0805, 0.071941, 0.070016, 0.06882, 0.04871, 0.066449, 0.063661, 0.067817, 0.078728, 0.0673, 0.056708, 0.064367, 0.048577, 0.063429, 0.060198, 0.060527, 0.064889
0.073472, 0.072245, 0.068743, 0.048534, 0.068755, 0.063782, 0.065956, 0.080516, 0.071899, 0.070018, 0.068841, 0.049034, 0.066443, 0.063647, 0.067811, 0.07872, 0.067159, 0.056554, 0.06433, 0.04898, 0.063431, 0.060159, 0.060513, 0.064814
0.073539, 0.072184, 0.068738, 0.049514, 0.068753, 0.063765, 0.065913, 0.080432, 0.0719, 0.069997, 0.06881, 0.049485, 0.066473, 0.063734, 0.067883, 0.078746, 0.067257, 0.056548, 0.064295, 0.049542, 0.06347, 0.060235, 0.060517, 0.064864
0.073487, 0.071841, 0.06876, 0.049057, 0.068786, 0.063747, 0.065936, 0.080518, 0.071832, 0.070357, 0.068837, 0.049484, 0.066468, 0.063665, 0.06784, 0.079009, 0.067613, 0.056659, 0.064331, 0.049563, 0.063511, 0.06015, 0.060572, 0.064888
0.073476, 0.071848, 0.068717, 0.048986, 0.068778, 0.063813, 0.065955, 0.080524, 0.071939, 0.070399, 0.068814, 0.049012, 0.066424, 0.063655, 0.067847, 0.078713, 0.067368, 0.056489, 0.064349, 0.049015, 0.06342, 0.06017, 0.060541, 0.064874
0.073393, 0.071832, 0.068754, 0.048988, 0.068775, 0.063796, 0.065914, 0.080404, 0.071863, 0.070373, 0.068835, 0.048992, 0.06645, 0.0637, 0.067823, 0.078833, 0.067224, 0.056721, 0.064347, 0.048534, 0.063397, 0.060167, 0.060528, 0.064875
0.073569, 0.07228, 0.068734, 0.049061, 0.068764, 0.063799, 0.065933, 0.080511, 0.071848, 0.070242, 0.068853, 0.049, 0.066463, 0.06365, 0.06785, 0.07866, 0.067309, 0.056559, 0.064323, 0.048532, 0.063382, 0.060199, 0.060533, 0.064844
0.07351, 0.07202, 0.068737, 0.049028, 0.068743, 0.063772, 0.06594, 0.080491, 0.071907, 0.070362, 0.068869, 0.048564, 0.066451, 0.063725, 0.06784, 0.078753, 0.067349, 0.056648, 0.064315, 0.048996, 0.063513, 0.060175, 0.060548, 0.064807
0.073433, 0.072242, 0.068746, 0.049002, 0.068711, 0.063723, 0.065919, 0.080533, 0.07188, 0.070183, 0.068854, 0.048975, 0.066479, 0.063686, 0.067825, 0.078738, 0.067272, 0.056664, 0.064339, 0.048976, 0.063506, 0.060179, 0.060568, 0.064873
0.073374, 0.072245, 0.068748, 0.049439, 0.068729, 0.063764, 0.065912, 0.080539, 0.071889, 0.070164, 0.068803, 0.048561, 0.06646, 0.063686, 0.067868, 0.078678, 0.067474, 0.056579, 0.064307, 0.04957, 0.063432, 0.060155, 0.06052, 0.064896
0.073634, 0.07183, 0.068766, 0.048958, 0.068757, 0.063752, 0.065931, 0.080535, 0.072038, 0.070022, 0.068839, 0.048972, 0.066437, 0.063725, 0.067847, 0.078774, 0.067247, 0.056559, 0.064324, 0.048594, 0.063493, 0.060157, 0.060602, 0.064915
0.073413, 0.072054, 0.068722, 0.049483, 0.068745, 0.063736, 0.065992, 0.080392, 0.071946, 0.07028, 0.068808, 0.048977, 0.066485, 0.063789, 0.069665, 0.078736, 0.067222, 0.056547, 0.064314, 0.04901, 0.063426, 0.060209, 0.060575, 0.064924
0.07354, 0.071976, 0.068761, 0.04859, 0.068728, 0.063764, 0.065951, 0.080509, 0.071992, 0.070215, 0.068825, 0.048951, 0.06646, 0.063671, 0.067813, 0.078768, 0.067236, 0.056637, 0.064362, 0.048528, 0.063438, 0.060226, 0.06055, 0.064894
0.07343, 0.072047, 0.068723, 0.048984, 0.068746, 0.06371, 0.065926, 0.080461, 0.071885, 0.069955, 0.068824, 0.049482, 0.066442, 0.063665, 0.067811, 0.078732, 0.067171, 0.056595, 0.064344, 0.048524, 0.06344, 0.060208, 0.060536, 0.064815
0.073569, 0.072131, 0.068747, 0.048987, 0.068811, 0.063724, 0.06594, 0.08049, 0.071892, 0.070167, 0.068807, 0.04953, 0.06645, 0.063688, 0.067873, 0.078682, 0.067548, 0.056656, 0.064332, 0.048566, 0.063393, 0.060203, 0.060556, 0.064843
0.073515, 0.07213, 0.068735, 0.048992, 0.068704, 0.063784, 0.065928, 0.080417, 0.071845, 0.070307, 0.068824, 0.048788, 0.066467, 0.063665, 0.067841, 0.078744, 0.067334, 0.056758, 0.064333, 0.048998, 0.063473, 0.060156, 0.060546, 0.064885
0.073529, 0.072103, 0.068759, 0.049018, 0.068716, 0.063818, 0.065922, 0.080423, 0.071849, 0.070003, 0.068837, 0.049024, 0.066447, 0.063711, 0.067828, 0.078722, 0.06741, 0.056545, 0.064336, 0.048569, 0.063437, 0.060205, 0.060536, 0.064848
0.073434, 0.072287, 0.068723, 0.04861, 0.068761, 0.063807, 0.065951, 0.080501, 0.071887, 0.070357, 0.068869, 0.0485, 0.066456, 0.063755, 0.067858, 0.078744, 0.067281, 0.056728, 0.064304, 0.048574, 0.063445, 0.060278, 0.060538, 0.064889
0.073523, 0.072219, 0.068739, 0.048584, 0.06874, 0.063745, 0.065935, 0.080487, 0.071874, 0.070082, 0.068941, 0.048973, 0.066447, 0.063695, 0.067827, 0.078715, 0.067151, 0.056614, 0.064295, 0.049011, 0.063395, 0.060167, 0.060537, 0.064905
0.073469, 0.072145, 0.068757, 0.048959, 0.06874, 0.079471, 0.065921, 0.080469, 0.071895, 0.070181, 0.068829, 0.048566, 0.066466, 0.063701, 0.067828, 0.078719, 0.067346, 0.05829, 0.064363, 0.048488, 0.063456, 0.060168, 0.060529, 0.064859
0.073486, 0.072018, 0.06873, 0.048569, 0.068711, 0.063768, 0.065947, 0.080476, 0.072064, 0.070468, 0.068837, 0.048727, 0.06646, 0.063769, 0.067832, 0.078742, 0.067373, 0.056553, 0.064306, 0.049522, 0.063459, 0.060211, 0.060552, 0.064931
0.073486, 0.072123, 0.068727, 0.049487, 0.068779, 0.063777, 0.06593, 0.080418, 0.07198, 0.070369, 0.068835, 0.049049, 0.066431, 0.063666, 0.067842, 0.07865, 0.067294, 0.056584, 0.064349, 0.048541, 0.063417, 0.060224, 0.060548, 0.064853
0.073483, 0.072274, 0.068761, 0.048622, 0.068769, 0.0637, 0.065926, 0.08052, 0.071885, 0.070358, 0.068812, 0.048553, 0.066463, 0.063748, 0.067819, 0.07867, 0.067312, 0.056626, 0.064383, 0.048531, 0.063398, 0.060195, 0.060547, 0.064921
