normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_sideways_fenwick
0.032484, 0.062955, 0.030357, 0.030917, 0.041333, 0.04187, 0.038475, 0.029791, 0.028951, 0.029241, 0.029142, 0.016256, 0.023331, 0.019774, 0.024733, 0.024257, 0.023125, 0.02436, 0.029721, 0.033554, 0.029726
0.05651, 0.033972, 0.029651, 0.030141, 0.041256, 0.041819, 0.038401, 0.029786, 0.028996, 0.029263, 0.029205, 0.016306, 0.023348, 0.020416, 0.024742, 0.024275, 0.023771, 0.024681, 0.029589, 0.032569, 0.029768
0.032264, 0.033695, 0.030361, 0.030099, 0.041324, 0.041814, 0.038352, 0.029722, 0.028932, 0.029263, 0.029158, 0.016327, 0.023325, 0.019772, 0.024771, 0.02421, 0.023157, 0.024132, 0.029269, 0.033561, 0.029808
0.032208, 0.033853, 0.030577, 0.030636, 0.041251, 0.041895, 0.03836, 0.029743, 0.029047, 0.029265, 0.029166, 0.016249, 0.023306, 0.020013, 0.024745, 0.024219, 0.023174, 0.024112, 0.029443, 0.033486, 0.02953
0.032462, 0.033905, 0.030198, 0.030137, 0.041187, 0.041846, 0.067866, 0.029709, 0.028988, 0.029217, 0.029188, 0.016352, 0.023386, 0.02004, 0.02475, 0.024252, 0.023339, 0.024085, 0.029449, 0.033471, 0.030227
0.032096, 0.033853, 0.030419, 0.030941, 0.041254, 0.041862, 0.03844, 0.02977, 0.02898, 0.029324, 0.0292, 0.016345, 0.023395, 0.02004, 0.024782, 0.024279, 0.023131, 0.024114, 0.029358, 0.032999, 0.029608
0.032225, 0.033574, 0.030393, 0.030257, 0.041194, 0.041929, 0.038446, 0.029728, 0.028977, 0.029251, 0.029202, 0.016305, 0.023265, 0.019924, 0.024725, 0.024245, 0.023127, 0.024111, 0.029934, 0.033114, 0.02982
0.032844, 0.033787, 0.030415, 0.030896, 0.041232, 0.041967, 0.038423, 0.029725, 0.029028, 0.029306, 0.0292, 0.016293, 0.023284, 0.020043, 0.024783, 0.024219, 0.023525, 0.024685, 0.029912, 0.032743, 0.029556
0.032617, 0.033873, 0.030459, 0.030991, 0.042087, 0.041875, 0.070914, 0.030116, 0.028983, 0.029289, 0.02921, 0.016308, 0.023374, 0.019773, 0.024719, 0.024209, 0.023156, 0.024239, 0.029772, 0.03289, 0.029812
0.032411, 0.033503, 0.029538, 0.030132, 0.041256, 0.041854, 0.038462, 0.029718, 0.028946, 0.029241, 0.029226, 0.01626, 0.023323, 0.01977, 0.024777, 0.024202, 0.023125, 0.024603, 0.029903, 0.032641, 0.029932
0.032279, 0.03377, 0.030374, 0.030738, 0.04125, 0.041871, 0.038603, 0.029724, 0.028993, 0.029258, 0.029176, 0.016268, 0.023379, 0.020136, 0.024785, 0.024268, 0.02315, 0.024102, 0.029918, 0.033607, 0.030342
